stopTime:1556527293.000000s and checkThroughInterval:0.001000s
[1556527277.675177 s]:	received 1689816 bytes....
[1556527277.675232 s]:	received 1691264 bytes....
[1556527277.675469 s]:	received 1692712 bytes....
[1556527277.675610 s]:	received 1694160 bytes....
[1556527277.677898 s]:	received 1698504 bytes....
[1556527277.677945 s]:	received 1701400 bytes....
[1556527277.684332 s]:	received 1702848 bytes....
[1556527277.684470 s]:	received 1704296 bytes....
[1556527277.685519 s]:	received 1705744 bytes....
[1556527277.685695 s]:	received 1707192 bytes....
[1556527277.691240 s]:	received 1708640 bytes....
[1556527277.695785 s]:	received 1710088 bytes....
[1556527277.697618 s]:	received 1714432 bytes....
[1556527277.700236 s]:	received 1715880 bytes....
[1556527277.701517 s]:	received 1717328 bytes....
[1556527277.701573 s]:	received 1718776 bytes....
[1556527277.701863 s]:	received 1723120 bytes....
[1556527277.701945 s]:	received 1724568 bytes....
[1556527277.701995 s]:	received 1726016 bytes....
[1556527277.706118 s]:	received 1730360 bytes....
[1556527277.706181 s]:	received 1734704 bytes....
[1556527277.706825 s]:	received 1736152 bytes....
[1556527277.711474 s]:	received 1737600 bytes....
[1556527277.713686 s]:	received 1741944 bytes....
[1556527277.713741 s]:	received 1743392 bytes....
[1556527277.716824 s]:	received 1747736 bytes....
[1556527277.718151 s]:	received 1752080 bytes....
[1556527277.718525 s]:	received 1760272 bytes....
[1556527277.718543 s]:	received 1762216 bytes....
[1556527277.718724 s]:	received 1766560 bytes....
[1556527277.720298 s]:	received 1768008 bytes....
[1556527277.720362 s]:	received 1769456 bytes....
[1556527277.721634 s]:	received 1773800 bytes....
[1556527277.721943 s]:	received 1779592 bytes....
[1556527277.721986 s]:	received 1781040 bytes....
[1556527277.722301 s]:	received 1785384 bytes....
[1556527277.722482 s]:	received 1789728 bytes....
[1556527277.722537 s]:	received 1791176 bytes....
[1556527277.722640 s]:	received 1792624 bytes....
[1556527277.722714 s]:	received 1794072 bytes....
[1556527277.722791 s]:	received 1795520 bytes....
[1556527277.722864 s]:	received 1796968 bytes....
[1556527277.722944 s]:	received 1798416 bytes....
[1556527277.723030 s]:	received 1799864 bytes....
[1556527277.723178 s]:	received 1801312 bytes....
[1556527277.723249 s]:	received 1802760 bytes....
[1556527277.723628 s]:	received 1807104 bytes....
[1556527277.723671 s]:	received 1811448 bytes....
[1556527277.723698 s]:	received 1812896 bytes....
[1556527277.724068 s]:	received 1817240 bytes....
[1556527277.724447 s]:	received 1824480 bytes....
[1556527277.724864 s]:	received 1831720 bytes....
[1556527277.724942 s]:	received 1836064 bytes....
[1556527277.724972 s]:	received 1837512 bytes....
[1556527277.725055 s]:	received 1838960 bytes....
[1556527277.725110 s]:	received 1840408 bytes....
[1556527277.725463 s]:	received 1844752 bytes....
[1556527277.726181 s]:	received 1852944 bytes....
[1556527277.726206 s]:	received 1854888 bytes....
[1556527277.726610 s]:	received 1859232 bytes....
[1556527277.726714 s]:	received 1863576 bytes....
[1556527277.726767 s]:	received 1866472 bytes....
[1556527277.727082 s]:	received 1870816 bytes....
[1556527277.727485 s]:	received 1875160 bytes....
[1556527277.727539 s]:	received 1880952 bytes....
[1556527277.727908 s]:	received 1885296 bytes....
[1556527277.727993 s]:	received 1889640 bytes....
[1556527277.728047 s]:	received 1891088 bytes....
[1556527277.728120 s]:	received 1892536 bytes....
[1556527277.728206 s]:	received 1893984 bytes....
[1556527277.728279 s]:	received 1895432 bytes....
[1556527277.728705 s]:	received 1899776 bytes....
[1556527277.729142 s]:	received 1907968 bytes....
[1556527277.729160 s]:	received 1909912 bytes....
[1556527277.729572 s]:	received 1917152 bytes....
[1556527277.729628 s]:	received 1921496 bytes....
[1556527277.729652 s]:	received 1922944 bytes....
[1556527277.729726 s]:	received 1924392 bytes....
[1556527277.729816 s]:	received 1925840 bytes....
[1556527277.729892 s]:	received 1927288 bytes....
[1556527277.730228 s]:	received 1933080 bytes....
[1556527277.730268 s]:	received 1934528 bytes....
[1556527277.730589 s]:	received 1938872 bytes....
[1556527277.730935 s]:	received 1946112 bytes....
[1556527277.730990 s]:	received 1947560 bytes....
[1556527277.733452 s]:	received 1951904 bytes....
